city,date,day_of_week,violation_type,count
Chicago,2015-02-17,1,redlight,1070.0
Chicago,2015-02-17,1,speed,2853.0
Chicago,2015-02-18,2,redlight,1084.0
Chicago,2015-02-18,2,speed,3348.0
Chicago,2015-02-19,3,redlight,1148.0
Chicago,2015-02-19,3,speed,2761.0
Chicago,2015-02-20,4,redlight,1230.0
Chicago,2015-02-20,4,speed,3686.0
Chicago,2015-02-21,5,redlight,1369.0
Chicago,2015-02-21,5,speed,2670.0
Chicago,2015-02-22,6,redlight,1368.0
Chicago,2015-02-22,6,speed,2873.0
Chicago,2015-02-23,0,redlight,1172.0
Chicago,2015-02-23,0,speed,3427.0
Chicago,2015-02-24,1,redlight,1115.0
Chicago,2015-02-24,1,speed,3090.0
Chicago,2015-02-25,2,redlight,1133.0
Chicago,2015-02-25,2,speed,2920.0
Chicago,2015-02-26,3,redlight,1033.0
Chicago,2015-02-26,3,speed,1626.0
Chicago,2015-02-27,4,redlight,1418.0
Chicago,2015-02-27,4,speed,3039.0
Chicago,2015-02-28,5,redlight,1529.0
Chicago,2015-02-28,5,speed,2678.0
Chicago,2015-03-01,6,redlight,1234.0
Chicago,2015-03-01,6,speed,2667.0
Chicago,2015-03-02,0,redlight,1214.0
Chicago,2015-03-02,0,speed,3653.0
Chicago,2015-03-03,1,redlight,891.0
Chicago,2015-03-03,1,speed,2242.0
Chicago,2015-03-04,2,redlight,1230.0
Chicago,2015-03-04,2,speed,3472.0
Chicago,2015-03-05,3,redlight,1296.0
Chicago,2015-03-05,3,speed,3483.0
Chicago,2015-03-06,4,redlight,1185.0
Chicago,2015-03-06,4,speed,4038.0
Chicago,2015-03-07,5,redlight,1258.0
Chicago,2015-03-07,5,speed,2989.0
Chicago,2015-03-08,6,redlight,975.0
Chicago,2015-03-08,6,speed,2715.0
Chicago,2015-03-09,0,redlight,1060.0
Chicago,2015-03-09,0,speed,4100.0
Chicago,2015-03-10,1,redlight,904.0
Chicago,2015-03-10,1,speed,3356.0
Chicago,2015-03-11,2,redlight,1103.0
Chicago,2015-03-11,2,speed,3757.0
Chicago,2015-03-12,3,redlight,1071.0
Chicago,2015-03-12,3,speed,4122.0
Chicago,2015-03-13,4,redlight,1208.0
Chicago,2015-03-13,4,speed,4403.0
Chicago,2015-03-14,5,redlight,1289.0
Chicago,2015-03-14,5,speed,3097.0
Chicago,2015-03-15,6,redlight,1138.0
Chicago,2015-03-15,6,speed,2988.0
Chicago,2015-03-16,0,redlight,1007.0
Chicago,2015-03-16,0,speed,4142.0
Chicago,2015-03-17,1,redlight,1092.0
Chicago,2015-03-17,1,speed,4325.0
Chicago,2015-03-18,2,redlight,1004.0
Chicago,2015-03-18,2,speed,4302.0
Chicago,2015-03-19,3,redlight,1090.0
Chicago,2015-03-19,3,speed,4106.0
Chicago,2015-03-20,4,redlight,1202.0
Chicago,2015-03-20,4,speed,4541.0
Chicago,2015-03-21,5,redlight,1439.0
Chicago,2015-03-21,5,speed,3260.0
Chicago,2015-03-22,6,redlight,1060.0
Chicago,2015-03-22,6,speed,3046.0
Chicago,2015-03-23,0,redlight,729.0
Chicago,2015-03-23,0,speed,1898.0
Chicago,2015-03-24,1,redlight,1103.0
Chicago,2015-03-24,1,speed,4155.0
Chicago,2015-03-25,2,redlight,931.0
Chicago,2015-03-25,2,speed,3522.0
Chicago,2015-03-26,3,redlight,1070.0
Chicago,2015-03-26,3,speed,3833.0
Chicago,2015-03-27,4,redlight,1268.0
Chicago,2015-03-27,4,speed,4252.0
Chicago,2015-03-28,5,redlight,1534.0
Chicago,2015-03-28,5,speed,3386.0
Chicago,2015-03-29,6,redlight,1134.0
Chicago,2015-03-29,6,speed,2698.0
Chicago,2015-03-30,0,redlight,1026.0
Chicago,2015-03-30,0,speed,4381.0
Chicago,2015-03-31,1,redlight,1076.0
Chicago,2015-03-31,1,speed,3958.0
Chicago,2015-04-01,2,redlight,1265.0
Chicago,2015-04-01,2,speed,4747.0
Chicago,2015-04-02,3,redlight,1146.0
Chicago,2015-04-02,3,speed,3135.0
Chicago,2015-04-03,4,redlight,1270.0
Chicago,2015-04-03,4,speed,2834.0
Chicago,2015-04-04,5,redlight,1422.0
Chicago,2015-04-04,5,speed,3416.0
Chicago,2015-04-05,6,redlight,1405.0
Chicago,2015-04-05,6,speed,3819.0
Chicago,2015-04-06,0,redlight,1023.0
Chicago,2015-04-06,0,speed,2504.0
Chicago,2015-04-07,1,redlight,918.0
Chicago,2015-04-07,1,speed,2344.0
Chicago,2015-04-08,2,redlight,957.0
Chicago,2015-04-08,2,speed,2428.0
Chicago,2015-04-09,3,redlight,1031.0
Chicago,2015-04-09,3,speed,1717.0
Chicago,2015-04-10,4,redlight,1222.0
Chicago,2015-04-10,4,speed,2940.0
Chicago,2015-04-11,5,redlight,1459.0
Chicago,2015-04-11,5,speed,3632.0
Chicago,2015-04-12,6,redlight,1147.0
Chicago,2015-04-12,6,speed,2950.0
Chicago,2015-04-13,0,redlight,1091.0
Chicago,2015-04-13,0,speed,3925.0
Chicago,2015-04-14,1,redlight,1126.0
Chicago,2015-04-14,1,speed,4285.0
Chicago,2015-04-15,2,redlight,1251.0
Chicago,2015-04-15,2,speed,2937.0
Chicago,2015-04-16,3,redlight,1228.0
Chicago,2015-04-16,3,speed,3716.0
Chicago,2015-04-17,4,redlight,1361.0
Chicago,2015-04-17,4,speed,4714.0
Chicago,2015-04-18,5,redlight,1545.0
Chicago,2015-04-18,5,speed,2869.0
Chicago,2015-04-19,6,redlight,1220.0
Chicago,2015-04-19,6,speed,2368.0
Chicago,2015-04-20,0,redlight,1037.0
Chicago,2015-04-20,0,speed,3695.0
Chicago,2015-04-21,1,redlight,1167.0
Chicago,2015-04-21,1,speed,4310.0
Chicago,2015-04-22,2,redlight,1032.0
Chicago,2015-04-22,2,speed,3736.0
Chicago,2015-04-23,3,redlight,1302.0
Chicago,2015-04-23,3,speed,4573.0
Chicago,2015-04-24,4,redlight,1271.0
Chicago,2015-04-24,4,speed,4452.0
Chicago,2015-04-25,5,redlight,1326.0
Chicago,2015-04-25,5,speed,2746.0
Chicago,2015-04-26,6,redlight,1378.0
Chicago,2015-04-26,6,speed,3403.0
Chicago,2015-04-27,0,redlight,1227.0
Chicago,2015-04-27,0,speed,4509.0
Chicago,2015-04-28,1,redlight,1268.0
Chicago,2015-04-28,1,speed,4729.0
Chicago,2015-04-29,2,redlight,1179.0
Chicago,2015-04-29,2,speed,4671.0
Chicago,2015-04-30,3,redlight,1208.0
Chicago,2015-04-30,3,speed,4553.0
Chicago,2015-05-01,4,redlight,1370.0
Chicago,2015-05-01,4,speed,5340.0
Chicago,2015-05-02,5,redlight,1558.0
Chicago,2015-05-02,5,speed,3530.0
Chicago,2015-05-03,6,redlight,1305.0
Chicago,2015-05-03,6,speed,2929.0
Chicago,2015-05-04,0,redlight,1176.0
Chicago,2015-05-04,0,speed,4456.0
Chicago,2015-05-05,1,redlight,1082.0
Chicago,2015-05-05,1,speed,3497.0
Chicago,2015-05-06,2,redlight,1212.0
Chicago,2015-05-06,2,speed,4368.0
