days_from_release,count,date,game,release_date
30,11787.0,2022-03-27,Elden Ring,2022-02-25
31,11963.0,2022-03-28,Elden Ring,2022-02-25
32,11138.0,2022-03-29,Elden Ring,2022-02-25
33,8341.0,2022-03-30,Elden Ring,2022-02-25
34,9828.0,2022-03-31,Elden Ring,2022-02-25
35,13038.0,2022-04-01,Elden Ring,2022-02-25
36,10025.0,2022-04-02,Elden Ring,2022-02-25
37,10301.0,2022-04-03,Elden Ring,2022-02-25
38,12100.0,2022-04-04,Elden Ring,2022-02-25
39,12073.0,2022-04-05,Elden Ring,2022-02-25
40,11594.0,2022-04-06,Elden Ring,2022-02-25
41,11500.0,2022-04-07,Elden Ring,2022-02-25
42,9628.0,2022-04-08,Elden Ring,2022-02-25
43,11678.0,2022-04-09,Elden Ring,2022-02-25
44,11461.0,2022-04-10,Elden Ring,2022-02-25
45,9497.0,2022-04-11,Elden Ring,2022-02-25
46,9595.0,2022-04-12,Elden Ring,2022-02-25
47,8127.0,2022-04-13,Elden Ring,2022-02-25
48,9611.0,2022-04-14,Elden Ring,2022-02-25
49,8578.0,2022-04-15,Elden Ring,2022-02-25
50,12454.0,2022-04-16,Elden Ring,2022-02-25
51,12219.0,2022-04-17,Elden Ring,2022-02-25
52,10506.0,2022-04-18,Elden Ring,2022-02-25
53,13016.0,2022-04-19,Elden Ring,2022-02-25
54,11276.0,2022-04-20,Elden Ring,2022-02-25
55,11560.0,2022-04-21,Elden Ring,2022-02-25
56,11019.0,2022-04-22,Elden Ring,2022-02-25
57,12749.0,2022-04-23,Elden Ring,2022-02-25
58,10931.0,2022-04-24,Elden Ring,2022-02-25
59,12191.0,2022-04-25,Elden Ring,2022-02-25
60,12105.0,2022-04-26,Elden Ring,2022-02-25
61,12217.0,2022-04-27,Elden Ring,2022-02-25
62,12417.0,2022-04-28,Elden Ring,2022-02-25
63,14058.0,2022-04-29,Elden Ring,2022-02-25
64,10612.0,2022-04-30,Elden Ring,2022-02-25
65,10694.0,2022-05-01,Elden Ring,2022-02-25
66,12061.0,2022-05-02,Elden Ring,2022-02-25
67,9594.0,2022-05-03,Elden Ring,2022-02-25
68,13721.0,2022-05-04,Elden Ring,2022-02-25
69,12025.0,2022-05-05,Elden Ring,2022-02-25
70,10648.0,2022-05-06,Elden Ring,2022-02-25
71,11829.0,2022-05-07,Elden Ring,2022-02-25
72,11658.0,2022-05-08,Elden Ring,2022-02-25
73,15154.0,2022-05-09,Elden Ring,2022-02-25
74,14307.0,2022-05-10,Elden Ring,2022-02-25
75,14014.0,2022-05-11,Elden Ring,2022-02-25
76,13715.0,2022-05-12,Elden Ring,2022-02-25
77,14393.0,2022-05-13,Elden Ring,2022-02-25
78,11577.0,2022-05-14,Elden Ring,2022-02-25
79,10208.0,2022-05-15,Elden Ring,2022-02-25
80,12567.0,2022-05-16,Elden Ring,2022-02-25
81,11710.0,2022-05-17,Elden Ring,2022-02-25
82,10652.0,2022-05-18,Elden Ring,2022-02-25
83,13184.0,2022-05-19,Elden Ring,2022-02-25
84,13974.0,2022-05-20,Elden Ring,2022-02-25
85,9752.0,2022-05-21,Elden Ring,2022-02-25
86,11560.0,2022-05-22,Elden Ring,2022-02-25
87,13441.0,2022-05-23,Elden Ring,2022-02-25
88,13520.0,2022-05-24,Elden Ring,2022-02-25
89,12496.0,2022-05-25,Elden Ring,2022-02-25
90,13550.0,2022-05-26,Elden Ring,2022-02-25
-30,13838.0,2021-11-08,Halo Infinite,2021-12-08
-29,12576.0,2021-11-09,Halo Infinite,2021-12-08
-28,13776.0,2021-11-10,Halo Infinite,2021-12-08
-27,10134.0,2021-11-11,Halo Infinite,2021-12-08
-26,10440.0,2021-11-12,Halo Infinite,2021-12-08
-25,12164.0,2021-11-13,Halo Infinite,2021-12-08
-24,11208.0,2021-11-14,Halo Infinite,2021-12-08
-23,12115.0,2021-11-15,Halo Infinite,2021-12-08
-22,12266.0,2021-11-16,Halo Infinite,2021-12-08
-21,7514.0,2021-11-17,Halo Infinite,2021-12-08
-20,9508.0,2021-11-18,Halo Infinite,2021-12-08
-19,7477.0,2021-11-19,Halo Infinite,2021-12-08
-18,6459.0,2021-11-20,Halo Infinite,2021-12-08
-17,6168.0,2021-11-21,Halo Infinite,2021-12-08
-16,8965.0,2021-11-22,Halo Infinite,2021-12-08
-15,11456.0,2021-11-23,Halo Infinite,2021-12-08
-14,9328.0,2021-11-24,Halo Infinite,2021-12-08
-13,10879.0,2021-11-25,Halo Infinite,2021-12-08
-12,10307.0,2021-11-26,Halo Infinite,2021-12-08
-11,10825.0,2021-11-27,Halo Infinite,2021-12-08
-10,10788.0,2021-11-28,Halo Infinite,2021-12-08
-9,11212.0,2021-11-29,Halo Infinite,2021-12-08
-8,11753.0,2021-11-30,Halo Infinite,2021-12-08
-7,10137.0,2021-12-01,Halo Infinite,2021-12-08
-6,12014.0,2021-12-02,Halo Infinite,2021-12-08
-5,12070.0,2021-12-03,Halo Infinite,2021-12-08
-4,10210.0,2021-12-04,Halo Infinite,2021-12-08
-3,7342.0,2021-12-05,Halo Infinite,2021-12-08
-2,11127.0,2021-12-06,Halo Infinite,2021-12-08
-1,9646.0,2021-12-07,Halo Infinite,2021-12-08
0,12443.0,2021-12-08,Halo Infinite,2021-12-08
1,12342.0,2021-12-09,Halo Infinite,2021-12-08
2,12004.0,2021-12-10,Halo Infinite,2021-12-08
3,12402.0,2021-12-11,Halo Infinite,2021-12-08
4,12797.0,2021-12-12,Halo Infinite,2021-12-08
5,12216.0,2021-12-13,Halo Infinite,2021-12-08
6,11145.0,2021-12-14,Halo Infinite,2021-12-08
7,10703.0,2021-12-15,Halo Infinite,2021-12-08
8,12543.0,2021-12-16,Halo Infinite,2021-12-08
9,13028.0,2021-12-17,Halo Infinite,2021-12-08
10,9681.0,2021-12-18,Halo Infinite,2021-12-08
11,10738.0,2021-12-19,Halo Infinite,2021-12-08
12,9547.0,2021-12-20,Halo Infinite,2021-12-08
13,8965.0,2021-12-21,Halo Infinite,2021-12-08
14,9371.0,2021-12-22,Halo Infinite,2021-12-08
15,9438.0,2021-12-23,Halo Infinite,2021-12-08
16,8664.0,2021-12-24,Halo Infinite,2021-12-08
17,9723.0,2021-12-25,Halo Infinite,2021-12-08
18,10057.0,2021-12-26,Halo Infinite,2021-12-08
19,8033.0,2021-12-27,Halo Infinite,2021-12-08
20,5590.0,2021-12-28,Halo Infinite,2021-12-08
21,8098.0,2021-12-29,Halo Infinite,2021-12-08
22,8116.0,2021-12-30,Halo Infinite,2021-12-08
23,9588.0,2021-12-31,Halo Infinite,2021-12-08
24,5039.0,2022-01-01,Halo Infinite,2021-12-08
25,6265.0,2022-01-02,Halo Infinite,2021-12-08
26,8234.0,2022-01-03,Halo Infinite,2021-12-08
27,8959.0,2022-01-04,Halo Infinite,2021-12-08
28,6227.0,2022-01-05,Halo Infinite,2021-12-08
29,7429.0,2022-01-06,Halo Infinite,2021-12-08
30,7574.0,2022-01-07,Halo Infinite,2021-12-08
31,6824.0,2022-01-08,Halo Infinite,2021-12-08
32,7292.0,2022-01-09,Halo Infinite,2021-12-08
33,7269.0,2022-01-10,Halo Infinite,2021-12-08
34,7605.0,2022-01-11,Halo Infinite,2021-12-08
35,9780.0,2022-01-12,Halo Infinite,2021-12-08
36,9505.0,2022-01-13,Halo Infinite,2021-12-08
37,7778.0,2022-01-14,Halo Infinite,2021-12-08
38,7653.0,2022-01-15,Halo Infinite,2021-12-08
39,7690.0,2022-01-16,Halo Infinite,2021-12-08
40,5787.0,2022-01-17,Halo Infinite,2021-12-08
41,9994.0,2022-01-18,Halo Infinite,2021-12-08
42,10188.0,2022-01-19,Halo Infinite,2021-12-08
43,10544.0,2022-01-20,Halo Infinite,2021-12-08
44,12397.0,2022-01-21,Halo Infinite,2021-12-08
45,10856.0,2022-01-22,Halo Infinite,2021-12-08
46,7026.0,2022-01-23,Halo Infinite,2021-12-08
47,6493.0,2022-01-24,Halo Infinite,2021-12-08
48,9149.0,2022-01-25,Halo Infinite,2021-12-08
49,10284.0,2022-01-26,Halo Infinite,2021-12-08
50,10987.0,2022-01-27,Halo Infinite,2021-12-08
51,6118.0,2022-01-28,Halo Infinite,2021-12-08
52,7355.0,2022-01-29,Halo Infinite,2021-12-08
53,7664.0,2022-01-30,Halo Infinite,2021-12-08
54,9369.0,2022-01-31,Halo Infinite,2021-12-08
55,8336.0,2022-02-01,Halo Infinite,2021-12-08
56,1807.0,2022-02-02,Halo Infinite,2021-12-08
57,5210.0,2022-02-03,Halo Infinite,2021-12-08
58,8120.0,2022-02-04,Halo Infinite,2021-12-08
59,6919.0,2022-02-05,Halo Infinite,2021-12-08
60,7238.0,2022-02-06,Halo Infinite,2021-12-08
61,8590.0,2022-02-07,Halo Infinite,2021-12-08
62,9184.0,2022-02-08,Halo Infinite,2021-12-08
63,9558.0,2022-02-09,Halo Infinite,2021-12-08
64,8948.0,2022-02-10,Halo Infinite,2021-12-08
65,10404.0,2022-02-11,Halo Infinite,2021-12-08
66,8648.0,2022-02-12,Halo Infinite,2021-12-08
67,8321.0,2022-02-13,Halo Infinite,2021-12-08
68,10287.0,2022-02-14,Halo Infinite,2021-12-08
69,10144.0,2022-02-15,Halo Infinite,2021-12-08
70,9145.0,2022-02-16,Halo Infinite,2021-12-08
71,6266.0,2022-02-17,Halo Infinite,2021-12-08
72,9060.0,2022-02-18,Halo Infinite,2021-12-08
73,9138.0,2022-02-19,Halo Infinite,2021-12-08
74,9135.0,2022-02-20,Halo Infinite,2021-12-08
75,7729.0,2022-02-21,Halo Infinite,2021-12-08
76,6906.0,2022-02-22,Halo Infinite,2021-12-08
77,10125.0,2022-02-23,Halo Infinite,2021-12-08
78,8737.0,2022-02-24,Halo Infinite,2021-12-08
79,9804.0,2022-02-25,Halo Infinite,2021-12-08
80,9008.0,2022-02-26,Halo Infinite,2021-12-08
81,9525.0,2022-02-27,Halo Infinite,2021-12-08
82,10958.0,2022-02-28,Halo Infinite,2021-12-08
83,10760.0,2022-03-01,Halo Infinite,2021-12-08
84,11970.0,2022-03-02,Halo Infinite,2021-12-08
85,10985.0,2022-03-03,Halo Infinite,2021-12-08
86,12069.0,2022-03-04,Halo Infinite,2021-12-08
87,10753.0,2022-03-05,Halo Infinite,2021-12-08
88,9924.0,2022-03-06,Halo Infinite,2021-12-08
89,10139.0,2022-03-07,Halo Infinite,2021-12-08
90,11940.0,2022-03-08,Halo Infinite,2021-12-08
-30,4860.0,2015-10-11,Fallout 4,2015-11-10
-29,4418.0,2015-10-12,Fallout 4,2015-11-10
-28,5825.0,2015-10-13,Fallout 4,2015-11-10
-27,6142.0,2015-10-14,Fallout 4,2015-11-10
-26,5447.0,2015-10-15,Fallout 4,2015-11-10
-25,6166.0,2015-10-16,Fallout 4,2015-11-10
-24,5019.0,2015-10-17,Fallout 4,2015-11-10
-23,5082.0,2015-10-18,Fallout 4,2015-11-10
-22,5279.0,2015-10-19,Fallout 4,2015-11-10
-21,4899.0,2015-10-20,Fallout 4,2015-11-10
-20,5317.0,2015-10-21,Fallout 4,2015-11-10
-19,5427.0,2015-10-22,Fallout 4,2015-11-10
-18,5221.0,2015-10-23,Fallout 4,2015-11-10
-17,4303.0,2015-10-24,Fallout 4,2015-11-10
-16,4785.0,2015-10-25,Fallout 4,2015-11-10
-15,5311.0,2015-10-26,Fallout 4,2015-11-10
-14,4386.0,2015-10-27,Fallout 4,2015-11-10
-13,4171.0,2015-10-28,Fallout 4,2015-11-10
-12,5194.0,2015-10-29,Fallout 4,2015-11-10
-11,6118.0,2015-10-30,Fallout 4,2015-11-10
-10,3173.0,2015-10-31,Fallout 4,2015-11-10
-9,4742.0,2015-11-01,Fallout 4,2015-11-10
-8,5060.0,2015-11-02,Fallout 4,2015-11-10
-7,5248.0,2015-11-03,Fallout 4,2015-11-10
-6,5165.0,2015-11-04,Fallout 4,2015-11-10
-5,5302.0,2015-11-05,Fallout 4,2015-11-10
-4,5275.0,2015-11-06,Fallout 4,2015-11-10
-3,4918.0,2015-11-07,Fallout 4,2015-11-10
-2,4556.0,2015-11-08,Fallout 4,2015-11-10
-1,5469.0,2015-11-09,Fallout 4,2015-11-10
0,5421.0,2015-11-10,Fallout 4,2015-11-10
1,3843.0,2015-11-11,Fallout 4,2015-11-10
2,4417.0,2015-11-12,Fallout 4,2015-11-10
3,4519.0,2015-11-13,Fallout 4,2015-11-10
4,4870.0,2015-11-14,Fallout 4,2015-11-10
5,4564.0,2015-11-15,Fallout 4,2015-11-10
6,4717.0,2015-11-16,Fallout 4,2015-11-10
7,3784.0,2015-11-17,Fallout 4,2015-11-10
8,3993.0,2015-11-18,Fallout 4,2015-11-10
9,4585.0,2015-11-19,Fallout 4,2015-11-10
10,5074.0,2015-11-20,Fallout 4,2015-11-10
11,1838.0,2015-11-21,Fallout 4,2015-11-10
12,2994.0,2015-11-22,Fallout 4,2015-11-10
13,4072.0,2015-11-23,Fallout 4,2015-11-10
14,4798.0,2015-11-24,Fallout 4,2015-11-10
15,3798.0,2015-11-25,Fallout 4,2015-11-10
16,4167.0,2015-11-26,Fallout 4,2015-11-10
17,3217.0,2015-11-27,Fallout 4,2015-11-10
18,4487.0,2015-11-28,Fallout 4,2015-11-10
19,4407.0,2015-11-29,Fallout 4,2015-11-10
20,4004.0,2015-11-30,Fallout 4,2015-11-10
21,4413.0,2015-12-01,Fallout 4,2015-11-10
22,3762.0,2015-12-02,Fallout 4,2015-11-10
23,4160.0,2015-12-03,Fallout 4,2015-11-10
24,5053.0,2015-12-04,Fallout 4,2015-11-10
25,4532.0,2015-12-05,Fallout 4,2015-11-10
26,4426.0,2015-12-06,Fallout 4,2015-11-10
27,4049.0,2015-12-07,Fallout 4,2015-11-10
28,4436.0,2015-12-08,Fallout 4,2015-11-10
29,4765.0,2015-12-09,Fallout 4,2015-11-10
30,4564.0,2015-12-10,Fallout 4,2015-11-10
31,4861.0,2015-12-11,Fallout 4,2015-11-10
32,3867.0,2015-12-12,Fallout 4,2015-11-10
33,3337.0,2015-12-13,Fallout 4,2015-11-10
34,3731.0,2015-12-14,Fallout 4,2015-11-10
35,4104.0,2015-12-15,Fallout 4,2015-11-10
36,3881.0,2015-12-16,Fallout 4,2015-11-10
37,4820.0,2015-12-17,Fallout 4,2015-11-10
38,5280.0,2015-12-18,Fallout 4,2015-11-10
39,4697.0,2015-12-19,Fallout 4,2015-11-10
40,4567.0,2015-12-20,Fallout 4,2015-11-10
41,2922.0,2015-12-21,Fallout 4,2015-11-10
42,3620.0,2015-12-22,Fallout 4,2015-11-10
43,3342.0,2015-12-23,Fallout 4,2015-11-10
44,4982.0,2015-12-24,Fallout 4,2015-11-10
45,5156.0,2015-12-25,Fallout 4,2015-11-10
46,3754.0,2015-12-26,Fallout 4,2015-11-10
47,4577.0,2015-12-27,Fallout 4,2015-11-10
48,1379.0,2015-12-28,Fallout 4,2015-11-10
49,2808.0,2015-12-29,Fallout 4,2015-11-10
50,3001.0,2015-12-30,Fallout 4,2015-11-10
51,4128.0,2015-12-31,Fallout 4,2015-11-10
52,4264.0,2016-01-01,Fallout 4,2015-11-10
53,4231.0,2016-01-02,Fallout 4,2015-11-10
54,4026.0,2016-01-03,Fallout 4,2015-11-10
55,3937.0,2016-01-04,Fallout 4,2015-11-10
56,4329.0,2016-01-05,Fallout 4,2015-11-10
57,4153.0,2016-01-06,Fallout 4,2015-11-10
58,4288.0,2016-01-07,Fallout 4,2015-11-10
59,3485.0,2016-01-08,Fallout 4,2015-11-10
60,3216.0,2016-01-09,Fallout 4,2015-11-10
61,4138.0,2016-01-10,Fallout 4,2015-11-10
62,3766.0,2016-01-11,Fallout 4,2015-11-10
63,3331.0,2016-01-12,Fallout 4,2015-11-10
64,3461.0,2016-01-13,Fallout 4,2015-11-10
65,4442.0,2016-01-14,Fallout 4,2015-11-10
66,3955.0,2016-01-15,Fallout 4,2015-11-10
67,4539.0,2016-01-16,Fallout 4,2015-11-10
68,4327.0,2016-01-17,Fallout 4,2015-11-10
69,4085.0,2016-01-18,Fallout 4,2015-11-10
70,4787.0,2016-01-19,Fallout 4,2015-11-10
71,4225.0,2016-01-20,Fallout 4,2015-11-10
72,4612.0,2016-01-21,Fallout 4,2015-11-10
73,4073.0,2016-01-22,Fallout 4,2015-11-10
74,4364.0,2016-01-23,Fallout 4,2015-11-10
75,3958.0,2016-01-24,Fallout 4,2015-11-10
76,3938.0,2016-01-25,Fallout 4,2015-11-10
77,3819.0,2016-01-26,Fallout 4,2015-11-10
78,4444.0,2016-01-27,Fallout 4,2015-11-10
79,4254.0,2016-01-28,Fallout 4,2015-11-10
80,5159.0,2016-01-29,Fallout 4,2015-11-10
81,4491.0,2016-01-30,Fallout 4,2015-11-10
82,3694.0,2016-01-31,Fallout 4,2015-11-10
83,4419.0,2016-02-01,Fallout 4,2015-11-10
84,2798.0,2016-02-02,Fallout 4,2015-11-10
85,3613.0,2016-02-03,Fallout 4,2015-11-10
86,4791.0,2016-02-04,Fallout 4,2015-11-10
87,3818.0,2016-02-05,Fallout 4,2015-11-10
88,4765.0,2016-02-06,Fallout 4,2015-11-10
89,4545.0,2016-02-07,Fallout 4,2015-11-10
90,3874.0,2016-02-08,Fallout 4,2015-11-10
-30,10.0,2011-10-12,Skyrim,2011-11-11
-29,10.0,2011-10-13,Skyrim,2011-11-11
-28,8.0,2011-10-14,Skyrim,2011-11-11
-27,1.0,2011-10-15,Skyrim,2011-11-11
-26,6.0,2011-10-16,Skyrim,2011-11-11
-25,5.0,2011-10-17,Skyrim,2011-11-11
-24,12.0,2011-10-18,Skyrim,2011-11-11
-23,2.0,2011-10-19,Skyrim,2011-11-11
-22,6.0,2011-10-20,Skyrim,2011-11-11
-21,6.0,2011-10-21,Skyrim,2011-11-11
-20,4.0,2011-10-22,Skyrim,2011-11-11
-19,4.0,2011-10-23,Skyrim,2011-11-11
-18,2.0,2011-10-24,Skyrim,2011-11-11
-17,3.0,2011-10-25,Skyrim,2011-11-11
